ServerName,Date,Mode,Model,ImageName,SessionID,ClientCount,StartTime,FinishTime,TotalTime,Result
DC-SC1,2026-06-10,APPLY,HP EliteDesk 800 G4 SFF,HP_EliteDesk800-G4_W11PRO-25H2_05-14-26.wim,1,1,7:53 PM,7:57 PM,00:03:52,SUCCESS
LA-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,600,8,5:10 PM,5:15 PM,00:05:32,SUCCESS
DC-SC1,2026-06-10,APPLY,HP EliteDesk 800 G4 SFF,HP_EliteDesk800-G4_W11PRO-25H2_05-14-26.wim,1,1,10:03 PM,10:06 PM,00:03:50,SUCCESS
ATL-LAB1,2026-06-11,APPLY,ThinkPad P15 Gen 1,Lenovo_ThinkPad-P15-G1_Win11Pro-25H2_03-07-26.wim,1,1,9:23 AM,9:29 AM,00:05:55,SUCCESS
ATL-LAB1,2026-06-11,APPLY,Dell Pro 14 PC14250,Dell Pro 14 PC14250 Win11Pro 25H2 [03-25-26].wim,2,1,9:24 AM,9:33 AM,00:09:00,SUCCESS
ATL-LAB1,2026-06-11,APPLY,ThinkPad P15 Gen 1,Lenovo_ThinkPad-P15-G1_Win11Pro-25H2_03-07-26.wim,3,1,9:26 AM,9:33 AM,00:06:46,SUCCESS
ATL-LAB1,2026-06-11,APPLY,Surface Laptop 5,MS_SurfaceLaptop-5_Win11Pro-25H2_11-15-25.wim,5,1,9:30 AM,9:35 AM,00:04:39,SUCCESS
CH-LAB1,2026-06-11,APPLY,Latitude 5511,Dell_Latitude-5511_Win11Pro-25H2_03-04-26.wim,3,1,8:53 AM,8:58 AM,00:05:01,SUCCESS
CH-LAB1,2026-06-11,APPLY,HP ProBook 440 G7,HP_ProBook-440-G7_Win11Pro-25H2_03-09-26.wim,2,1,8:53 AM,8:59 AM,00:05:55,SUCCESS
ENG-LAB1,2026-06-11,APPLY,ThinkPad E14,Lenovo_ThinkPad-E14_Win11Pro-24H2_03-06-26.wim,1,5,10:01 AM,10:06 AM,00:05:10,SUCCESS
ENG-LAB1,2026-06-11,APPLY,ThinkPad E14,Lenovo_ThinkPad-E14_Win11Pro-24H2_03-06-26.wim,2,1,10:02 AM,10:07 AM,00:05:21,SUCCESS
DAL-LAB3,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,31,3,9:24 AM,9:29 AM,00:04:45,SUCCESS
DAL-LAB3,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,32,3,9:29 AM,9:38 AM,00:08:21,SUCCESS
ENG-LAB1,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,5,10:36 AM,10:41 AM,00:05:09,SUCCESS
DAL-LAB2,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,21,2,9:31 AM,9:44 AM,00:13:10,SUCCESS
DAL-LAB2,2026-06-11,APPLY,Latitude 5511,Dell_Latitude-5511_Win11Pro-25H2_03-04-26.wim,23,1,9:34 AM,9:46 AM,00:11:49,SUCCESS
DAL-LAB2,2026-06-11,APPLY,Latitude 5430,Dell_Latitude-5430_Win11Pro-25H2_03-03-26.wim,22,1,9:31 AM,9:46 AM,00:15:11,SUCCESS
DAL-LAB2,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,24,3,9:35 AM,9:47 AM,00:12:11,SUCCESS
DAL-LAB2,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,25,2,9:36 AM,9:47 AM,00:11:03,SUCCESS
CH-LAB1,2026-06-11,APPLY,HP ProBook 440 G5,HP_ProBook-440-G5_Win11Pro-25H2_11-07-25.wim,1,1,8:53 AM,9:57 AM,01:03:31,CANCELLED
DC-SC1,2026-06-11,APPLY,HP EliteDesk 800 G4 SFF,HP_EliteDesk800-G4_W11PRO-25H2_05-14-26.wim,1,1,10:57 AM,11:01 AM,00:03:52,SUCCESS
CH-LAB1,2026-06-11,APPLY,NUC12WSH-B,Intel-NUC-NUC12WShi7_Win11Pro-25H2_03-23-26.wim,1,2,9:57 AM,10:01 AM,00:03:31,SUCCESS
ENG-LAB1,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,5,10:59 AM,11:05 AM,00:05:16,SUCCESS
ENG-LAB1,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,5,11:14 AM,11:19 AM,00:04:44,SUCCESS
ENG-LAB1,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,5,11:28 AM,11:33 AM,00:04:42,SUCCESS
CH-LAB1,2026-06-11,APPLY,ThinkPad L14 Gen 1,Lenovo_ThinkPad-L14_Win11Pro-25H2_03-06-26.wim,1,1,10:29 AM,10:33 AM,00:03:33,SUCCESS
DAL-LAB3,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,31,1,10:30 AM,10:35 AM,00:04:18,SUCCESS
ENG-LAB1,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,5,11:41 AM,11:45 AM,00:04:40,SUCCESS
DAL-LAB3,2026-06-11,APPLY,Latitude 5440,Dell_Latitude-5440_Win11Pro-25H2_03-03-26.wim,32,1,10:44 AM,10:48 AM,00:03:42,SUCCESS
CH-LAB1,2026-06-11,APPLY,NUC12WSH-B,Intel-NUC-NUC12WShi7_Win11Pro-25H2_03-23-26.wim,1,1,10:48 AM,10:52 AM,00:03:30,SUCCESS
HAU-LAB1,20260611,CAPTURE,Latitude 5511,CSHL_Dell_5511_DROS_2026.wim,1,1,11:51 AM,,00:02:39,ERROR
HAU-LAB1,20260611,CAPTURE,Latitude 5511,CSHL_Dell 5511_DROS_2026.wim,1,1,11:58 AM,,00:00:09,ERROR
